#separator:tab
#html:true
#columns:Word	WordAudio	Meaning	Sentence	SentenceAudio	Translation	Tags
#tags column:7
ビジネス	ビジネス	business<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1128</div>	<ruby>彼<rt>かれ</rt></ruby>は<ruby>新<rt>あたら</rt></ruby>しい<b>ビジネス</b>でうまくいっている。	彼は新しいビジネスでうまくいっている。	He's getting on well in his new business.	pos::noun rank::1001-1500
プログラム	プログラム	program (of events, music, etc.); programme<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1129</div>	とにかくその<b>プログラム</b>は<ruby>成功<rt>せいこう</rt></ruby>だった。	とにかくそのプログラムは成功だった。	At any rate, the program was a success.	pos::noun rank::1001-1500
リリース	リリース	release (of a film, product, etc.); publication<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1130</div>	<ruby>Ｍａｒｋ／Ｓｐａｃｅは７月<rt>しちがつ</rt></ruby>１８<ruby>日<rt>にち</rt></ruby>、Ｍａｃ　ＯＳ Ｘ<ruby>用<rt>よう</rt></ruby>シンクロソフト、Ｍｉｓｓｉｎｇ　Ｓｙｎｃ　ｆｏｒ　Ｗｉｎｄｏｗｓ　Ｍｏｂｉｌｅのアップデート<ruby>版<rt>ばん</rt></ruby>を<b>リリース</b>した。	Ｍａｒｋ／Ｓｐａｃｅは７月１８日、Ｍａｃ　ＯＳ Ｘ用シンクロソフト、Ｍｉｓｓｉｎｇ　Ｓｙｎｃ　ｆｏｒ　Ｗｉｎｄｏｗｓ　Ｍｏｂｉｌｅのアップデート版をリリースした。	On Jul 18th Mark/Space released an updated version of Missing Sync for Windows Mobile for the Mac OS X.	pos::noun rank::1001-1500
<ruby>休<rt>やす</rt></ruby>み	休み	rest; recess; respite<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1131</div>	お<b><ruby>休<rt>やす</rt></ruby>み</b>はあっと<ruby>言<rt>い</rt></ruby>う<ruby>間<rt>ま</rt></ruby>に<ruby>終<rt>お</rt></ruby>わってしまった。	お休みはあっと言う間に終わってしまった。	The holiday was over very quickly.	pos::noun rank::1001-1500
<ruby>値段<rt>ねだん</rt></ruby>	値段	price; cost<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1132</div>	<b><ruby>値段<rt>ねだん</rt></ruby></b>はあなたしだいで<ruby>決<rt>き</rt></ruby>めてください。	値段はあなたしだいで決めてください。	The price is up to you.	pos::noun rank::1001-1500
<ruby>別<rt>べつ</rt></ruby>に	別に	(not) particularly; (not) especially; (not) specially<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 1133</div>	「<ruby>何<rt>なに</rt></ruby>を<ruby>考<rt>かんが</rt></ruby>えてるの？」「<b><ruby>別<rt>べつ</rt></ruby>に</b>・・・」	「何を考えてるの？」「別に・・・」	What are you thinking about? "Nothin'..."	pos::adverb rank::1001-1500
<ruby>取<rt>と</rt></ruby>る	取る	to take; to pick up; to grab<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 1134</div>	<ruby>彼女<rt>かのじょ</rt></ruby>の<ruby>言<rt>い</rt></ruby>うことは<ruby>必<rt>かなら</rt></ruby>ずメモを<b><ruby>取<rt>と</rt></ruby>っ</b>て<ruby>下<rt>くだ</rt></ruby>さい。	彼女の言うことは必ずメモを取って下さい。	Be sure to take a note of what she says.	pos::verb rank::1001-1500
<ruby>呼<rt>よ</rt></ruby>ぶ	呼ぶ	to call out (to); to call; to invoke<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 1135</div>	<b><ruby>呼<rt>よ</rt></ruby>ん</b>でいただきましてありがとうございます。	呼んでいただきましてありがとうございます。	Thank you for inviting me.	pos::verb rank::1001-1500
<ruby>尻<rt>しり</rt></ruby>	尻	buttocks; behind; rump<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1136</div>	<ruby>頭<rt>あたま</rt></ruby><ruby>隠<rt>かく</rt></ruby>して<b><ruby>尻<rt>しり</rt></ruby></b><ruby>隠<rt>かく</rt></ruby>さず。	頭隠して尻隠さず。	Protect yourself at all points.	pos::noun rank::1001-1500
<ruby>工事<rt>こうじ</rt></ruby>	工事	construction work<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1137</div>	<b><ruby>工事<rt>こうじ</rt></ruby></b>は<ruby>着々<rt>ちゃくちゃく</rt></ruby>と<ruby>完成<rt>かんせい</rt></ruby>に<ruby>近<rt>ちか</rt></ruby>づいている。	工事は着々と完成に近づいている。	The construction work is steadily nearing completion.	pos::noun rank::1001-1500
<ruby>工場<rt>こうじょう</rt></ruby>	工場	factory; plant; mill<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1138</div>	テレビを<ruby>製造<rt>せいぞう</rt></ruby>している<b><ruby>工場<rt>こうじょう</rt></ruby></b>を<ruby>訪問<rt>ほうもん</rt></ruby>します。	テレビを製造している工場を訪問します。	We'll visit a factory which produces television sets.	pos::noun rank::1001-1500
<ruby>我慢<rt>がまん</rt></ruby>	我慢	endurance; patience; perseverance<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1139</div>	とても<ruby>暑<rt>あつ</rt></ruby>くて、それ<ruby>以上<rt>いじょう</rt></ruby><b><ruby>我慢<rt>がまん</rt></ruby></b>できなかった。	とても暑くて、それ以上我慢できなかった。	It was hot. I couldn't stand it any longer.	pos::noun rank::1001-1500
<ruby>段階<rt>だんかい</rt></ruby>	段階	stage; step; phase<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1140</div>	<ruby>病気<rt>びょうき</rt></ruby>はまだ<ruby>初期<rt>しょき</rt></ruby>の<b><ruby>段階<rt>だんかい</rt></ruby></b>です。	病気はまだ初期の段階です。	The disease is still in the primary stage.	pos::noun rank::1001-1500
<ruby>獣<rt>けもの</rt></ruby>	獣	beast; brute; animal<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1141</div>	<ruby>原始<rt>げんし</rt></ruby><ruby>人<rt>じん</rt></ruby>はどう<ruby>猛<rt>もう</rt></ruby>な<b><ruby>獣<rt>しし</rt></ruby></b>を<ruby>見<rt>み</rt></ruby>ておびえた。	原始人はどう猛な獣を見ておびえた。	The primitive man was frightened at the sight of a savage beast.	pos::noun rank::1001-1500
<ruby>突然<rt>とつぜん</rt></ruby>	突然	abrupt; sudden; unexpected<div style="font-size:12px;color:#a7aebb;margin-top:4px">adjective &middot; frequency rank 1142</div>	<b><ruby>突然<rt>とつぜん</rt></ruby></b>とてもうれしくなりました。	突然とてもうれしくなりました。	He was suddenly very happy.	pos::adjective rank::1001-1500
<ruby>葉<rt>は</rt></ruby>	葉	leaf; blade (of grass); (pine) needle<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1143</div>	<b><ruby>葉<rt>は</rt></ruby></b>がときどき<ruby>落<rt>お</rt></ruby>ちてきた。	葉がときどき落ちてきた。	Leaves fell down every now and then.	pos::noun rank::1001-1500
<ruby>血<rt>ち</rt></ruby>	血	blood<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1144</div>	<ruby>彼<rt>かれ</rt></ruby>らは<b><ruby>血<rt>ち</rt></ruby></b>がつながっている。	彼らは血がつながっている。	They are related by blood.	pos::noun rank::1001-1500
<ruby>行<rt>おこな</rt></ruby>い	行い	deed; act; action<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1145</div>	<ruby>彼<rt>かれ</rt></ruby>の<b><ruby>行<rt>おこな</rt></ruby>い</b>は<ruby>言<rt>い</rt></ruby>うことと<ruby>一致<rt>いっち</rt></ruby>しない。	彼の行いは言うことと一致しない。	His deeds do not accord with his words.	pos::noun rank::1001-1500
<ruby>週<rt>しゅう</rt></ruby>	週	week<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1146</div>	<ruby>父親<rt>ちちおや</rt></ruby>は<ruby>彼<rt>かれ</rt></ruby>に<ruby>小遣<rt>こづか</rt></ruby>いを<b><ruby>週<rt>しゅう</rt></ruby></b>１０ドル<ruby>与<rt>あた</rt></ruby>えている。	父親は彼に小遣いを週１０ドル与えている。	His father allows him $10 a week as spending money.	pos::noun rank::1001-1500
お<ruby>話<rt>はなし</rt></ruby>	お話	story; tale<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1147</div>	<ruby>知<rt>し</rt></ruby>っていることしか<b>お<ruby>話<rt>はなし</rt></ruby></b>しできません。	知っていることしかお話しできません。	I can only tell you what I know.	pos::noun rank::1001-1500
それら	それら	those; they<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 1148</div>	<b>それら</b><ruby>全部<rt>ぜんぶ</rt></ruby><ruby>読<rt>よ</rt></ruby>むことができる。	それら全部読むことができる。	I can read them all.	pos::pronoun rank::1001-1500
ちょうど	ちょうど	exactly; precisely; just<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 1149</div>	<b>ちょうど</b>その<ruby>時<rt>とき</rt></ruby>、うまい<ruby>考<rt>かんが</rt></ruby>えが<ruby>浮<rt>う</rt></ruby>かんだ。	ちょうどその時、うまい考えが浮かんだ。	Just then, a bright idea occurred to me.	pos::adverb rank::1001-1500
つける	つける	to attach; to join; to connect<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 1150</div>	<ruby>何<rt>なん</rt></ruby>とか<ruby>都合<rt>つごう</rt></ruby><b>つけ</b>て<ruby>来週<rt>らいしゅう</rt></ruby>お<ruby>目<rt>め</rt></ruby>にかかりましょう。	何とか都合つけて来週お目にかかりましょう。	I'll manage to fit you in next week.	pos::verb rank::1001-1500
イラスト	イラスト	illustration; picture; sketch<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1151</div>	６００００キリリクイラスト：キリ<ruby>番<rt>ばん</rt></ruby>を<ruby>踏<rt>ふ</rt></ruby>んだBeikyuさんのサイト「<ruby>小<rt>ちい</rt></ruby>さなカエデの<ruby>木<rt>き</rt></ruby>のそばで」のイメージ<b>イラスト</b>を<ruby>描<rt>えが</rt></ruby>いてほしいというリクエストを<ruby>頂<rt>いただ</rt></ruby>きました。	６００００キリリクイラスト：キリ番を踏んだBeikyuさんのサイト「小さなカエデの木のそばで」のイメージイラストを描いてほしいというリクエストを頂きました。	60,000 lucky number request: I got a request to draw an illustration for the site of Beikyu, who hit the lucky number, "Standing By A Little Maple Tree".	pos::noun rank::1001-1500
シャツ	シャツ	shirt (undergarment); undershirt; singlet<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1152</div>	この<b>シャツ</b>は<ruby>小<rt>ちい</rt></ruby>さすぎて<ruby>着<rt>き</rt></ruby>られない。	このシャツは小さすぎて着られない。	This shirt is too small for me to wear.	pos::noun rank::1001-1500
ストーリー	ストーリー	story; tale; legend<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1153</div>	「<ruby>双子<rt>ふたご</rt></ruby>のトラの<ruby>子<rt>こ</rt></ruby>が<ruby>離<rt>はな</rt></ruby>れ<ruby>離<rt>ばな</rt></ruby>れになって・・・」という<b>ストーリー</b>でちょっとありふれたような<ruby>感<rt>かん</rt></ruby>じでした。	「双子のトラの子が離れ離れになって・・・」というストーリーでちょっとありふれたような感じでした。	The "twin tiger cubs get separated ..." story felt a bit trite.	pos::noun rank::1001-1500
ゼロ	ゼロ	zero; 0; nought<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1154</div>	<b>ゼロ</b>という<ruby>概念<rt>がいねん</rt></ruby>はヒンドゥー<ruby>文化<rt>ぶんか</rt></ruby>に<ruby>由来<rt>ゆらい</rt></ruby>している。	ゼロという概念はヒンドゥー文化に由来している。	The concept of zero sprang from the Hindu culture.	pos::noun rank::1001-1500
ダンス	ダンス	dance; dancing<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1155</div>	<ruby>明日<rt>あした</rt></ruby><b>ダンス</b>に<ruby>行<rt>い</rt></ruby>く<ruby>事<rt>こと</rt></ruby>になっています。	明日ダンスに行く事になっています。	We are going to a dance tomorrow.	pos::noun rank::1001-1500
バー	バー	bar; tavern; barroom<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1156</div>	この<b>バー</b>は<ruby>学生<rt>がくせい</rt></ruby>のたまり<ruby>場<rt>ば</rt></ruby>として<ruby>知<rt>し</rt></ruby>られている。	このバーは学生のたまり場として知られている。	This bar is a popular student hangout.	pos::noun rank::1001-1500
ベッド	ベッド	bed<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1157</div>	<ruby>黄金<rt>おうごん</rt></ruby>の<b>ベッド</b>で<ruby>眠<rt>ねむ</rt></ruby>る<ruby>金持<rt>かねも</rt></ruby>ち。	黄金のベッドで眠る金持ち。	There's a rich man sleeping on a golden bed.	pos::noun rank::1001-1500
ラーメン	ラーメン	ramen; Chinese-style noodles<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1158</div>	<ruby>私<rt>わたし</rt></ruby><ruby>達<rt>たち</rt></ruby>は<ruby>時々<rt>ときどき</rt></ruby>、ドライブを<ruby>兼<rt>か</rt></ruby>ねて<ruby>大好<rt>だいす</rt></ruby>きな<b>ラーメン</b>を<ruby>食<rt>た</rt></ruby>べに<ruby>行<rt>い</rt></ruby>きます。	私達は時々、ドライブを兼ねて大好きなラーメンを食べに行きます。	We sometimes combine going for a drive with eating the ramen we love so.	pos::noun rank::1001-1500
<ruby>一体<rt>いったい</rt></ruby>	一体	(what) the heck; (why) in the world; (who) on earth<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 1159</div>	<b>いったい</b>そのニュースは<ruby>本当<rt>ほんとう</rt></ruby>だろうか。	いったいそのニュースは本当だろうか。	Can the news be true?	pos::adverb rank::1001-1500
<ruby>午後<rt>ごご</rt></ruby>	午後	afternoon; p.m.<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1160</div>	<ruby>次<rt>つぎ</rt></ruby>の<ruby>土曜日<rt>どようび</rt></ruby>の<b><ruby>午後<rt>ごご</rt></ruby></b>は<ruby>空<rt>あ</rt></ruby>けておいてください。	次の土曜日の午後は空けておいてください。	Please leave next Saturday afternoon free.	pos::noun rank::1001-1500
<ruby>基地<rt>きち</rt></ruby>	基地	base (military, expedition, etc.)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1161</div>	<ruby>昨日<rt>きのう</rt></ruby>、<ruby>彼<rt>かれ</rt></ruby>は<b><ruby>基地<rt>きち</rt></ruby></b>に<ruby>帰<rt>かえ</rt></ruby>らなかった。	昨日、彼は基地に帰らなかった。	He didn't come back to the base yesterday.	pos::noun rank::1001-1500
<ruby>女優<rt>じょゆう</rt></ruby>	女優	actress; female actor<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1162</div>	あの<b><ruby>女優<rt>じょゆう</rt></ruby></b>は<ruby>相変<rt>あいか</rt></ruby>わらず<ruby>美<rt>うつく</rt></ruby>しい。	あの女優は相変わらず美しい。	That actress is as beautiful as ever.	pos::noun rank::1001-1500
<ruby>姉<rt>あね</rt></ruby>	姉	older sister; elder sister<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1163</div>	<ruby>彼女<rt>かのじょ</rt></ruby>の<b><ruby>姉<rt>あね</rt></ruby></b>は<ruby>先月<rt>せんげつ</rt></ruby><ruby>結婚<rt>けっこん</rt></ruby>した。	彼女の姉は先月結婚した。	Her older sister got married last month.	pos::noun rank::1001-1500
<ruby>帯<rt>おび</rt></ruby>	帯	obi (kimono sash)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1164</div>	<b><ruby>帯<rt>おび</rt></ruby></b>に<ruby>短<rt>みじか</rt></ruby>し、<ruby>襷<rt>たすき</rt></ruby>に<ruby>長<rt>なが</rt></ruby>し。	帯に短し、襷に長し。	Too much spoils, too little is nothing.	pos::noun rank::1001-1500
<ruby>扱<rt>あつか</rt></ruby>い	扱い	treatment; service; dealing (with)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1165</div>	<ruby>彼<rt>かれ</rt></ruby>は<ruby>彼等<rt>かれら</rt></ruby>の<ruby>自分<rt>じぶん</rt></ruby>に<ruby>対<rt>たい</rt></ruby>する<b><ruby>扱<rt>あつか</rt></ruby>い</b>に<ruby>不満<rt>ふまん</rt></ruby>を<ruby>言<rt>い</rt></ruby>った。	彼は彼等の自分に対する扱いに不満を言った。	He grumbled about the way they treated him.	pos::noun rank::1001-1500
<ruby>支持<rt>しじ</rt></ruby>	支持	support; backing; endorsement<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1166</div>	できるだけあなたを<b><ruby>支持<rt>しじ</rt></ruby></b>します。	できるだけあなたを支持します。	I'll support you as much as I can.	pos::noun rank::1001-1500
<ruby>教授<rt>きょうじゅ</rt></ruby>	教授	professor<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1167</div>	<b><ruby>教授<rt>きょうじゅ</rt></ruby></b>はフランスの<ruby>歴史<rt>れきし</rt></ruby>について<ruby>講義<rt>こうぎ</rt></ruby>した。	教授はフランスの歴史について講義した。	The professor lectured on French history.	pos::noun rank::1001-1500
<ruby>料<rt>りょう</rt></ruby>	料	fee; charge; rate<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1168</div>	<ruby>私<rt>わたし</rt></ruby>のピアノレッスンの<ruby>値段<rt>ねだん</rt></ruby>は、ピアノの<ruby>使用<rt>しよう</rt></ruby><b><ruby>料<rt>りょう</rt></ruby></b>を<ruby>含<rt>ふく</rt></ruby>んでいます。	私のピアノレッスンの値段は、ピアノの使用料を含んでいます。	The price of my piano lessons includes the use of the piano.	pos::noun rank::1001-1500
<ruby>昭和<rt>しょうわ</rt></ruby>	昭和	Shōwa era (1926.12.25-1989.1.7)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1169</div>	<b><ruby>昭和<rt>しょうわ</rt></ruby></b>２０<ruby>年<rt>ねん</rt></ruby>に<ruby>第<rt>だい</rt></ruby><ruby>二<rt>に</rt></ruby><ruby>次<rt>じ</rt></ruby><ruby>世界<rt>せかい</rt></ruby><ruby>大戦<rt>たいせん</rt></ruby>は<ruby>終<rt>お</rt></ruby>わった。	昭和２０年に第二次世界大戦は終わった。	World War II came to an end in the 20th year of the Showa era.	pos::noun rank::1001-1500
<ruby>本来<rt>ほんらい</rt></ruby>	本来	originally; primarily<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 1170</div>	この<ruby>詩<rt>し</rt></ruby>は<b><ruby>本来<rt>ほんらい</rt></ruby></b>フランス<ruby>語<rt>ご</rt></ruby>で<ruby>書<rt>か</rt></ruby>かれていた。	この詩は本来フランス語で書かれていた。	This poem was originally written in French.	pos::adverb rank::1001-1500
<ruby>残<rt>のこ</rt></ruby>り	残り	remainder; remnant; the rest<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1171</div>	<b><ruby>残<rt>のこ</rt></ruby>り</b><ruby>時間<rt>じかん</rt></ruby>があまりなくなってきた。	残り時間があまりなくなってきた。	The sands are running out.	pos::noun rank::1001-1500
<ruby>注目<rt>ちゅうもく</rt></ruby>	注目	notice; attention; observation<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1172</div>	<ruby>来月<rt>らいげつ</rt></ruby>やってくる<ruby>彼<rt>かれ</rt></ruby>の<ruby>最近<rt>さいきん</rt></ruby>の<ruby>映画<rt>えいが</rt></ruby>に<b><ruby>注目<rt>ちゅうもく</rt></ruby></b>しなさい。	来月やってくる彼の最近の映画に注目しなさい。	Watch out for his latest movie which comes out next month.	pos::noun rank::1001-1500
<ruby>無事<rt>ぶじ</rt></ruby>	無事	safety; security; peace<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1173</div>	<ruby>私<rt>わたし</rt></ruby>の<ruby>乗<rt>の</rt></ruby>った<ruby>飛行機<rt>ひこうき</rt></ruby>が<b><ruby>無事<rt>ぶじ</rt></ruby></b>に<ruby>着陸<rt>ちゃくりく</rt></ruby>してほっとした。	私の乗った飛行機が無事に着陸してほっとした。	I felt relieved when my plane landed safely.	pos::noun rank::1001-1500
<ruby>異常<rt>いじょう</rt></ruby>	異常	abnormal; unusual; extraordinary<div style="font-size:12px;color:#a7aebb;margin-top:4px">na-adjective &middot; frequency rank 1174</div>	<ruby>毎年<rt>まいとし</rt></ruby>、<ruby>世界<rt>せかい</rt></ruby><ruby>各地<rt>かくち</rt></ruby>に<b><ruby>異常<rt>いじょう</rt></ruby></b>な<ruby>天気<rt>てんき</rt></ruby>が<ruby>起<rt>お</rt></ruby>きています。	毎年、世界各地に異常な天気が起きています。	Every year brings stranger weather to many areas of the world.	pos::na-adjective rank::1001-1500
<ruby>知<rt>し</rt></ruby>る	知る	to know; to be aware (of); to be conscious (of)<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 1175</div>	<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>最近<rt>さいきん</rt></ruby>の<ruby>流行<rt>りゅうこう</rt></ruby>についてよく<b><ruby>知<rt>し</rt></ruby>っ</b>ている。	彼女は最近の流行についてよく知っている。	She knows much about recent fashions.	pos::verb rank::1001-1500
<ruby>要求<rt>ようきゅう</rt></ruby>	要求	demand; firm request; requisition<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1176</div>	その<b><ruby>要求<rt>ようきゅう</rt></ruby></b>に<ruby>対<rt>たい</rt></ruby>して<ruby>怒<rt>おこ</rt></ruby>った。	その要求に対して怒った。	They set up their backs against the claim.	pos::noun rank::1001-1500
<ruby>証明<rt>しょうめい</rt></ruby>	証明	proof; testimony; demonstration<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1177</div>	<ruby>私<rt>わたし</rt></ruby>はデータによってその<ruby>事実<rt>じじつ</rt></ruby>を<b><ruby>証明<rt>しょうめい</rt></ruby></b>した。	私はデータによってその事実を証明した。	I proved the fact on the strength of the data.	pos::noun rank::1001-1500
<ruby>認識<rt>にんしき</rt></ruby>	認識	recognition; awareness; perception<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1178</div>	<ruby>世界<rt>せかい</rt></ruby>は<ruby>彼<rt>かれ</rt></ruby>を<b><ruby>認識<rt>にんしき</rt></ruby></b>していなかった。	世界は彼を認識していなかった。	The world did not recognize him.	pos::noun rank::1001-1500
<ruby>集中<rt>しゅうちゅう</rt></ruby>	集中	concentration (on a task); focusing one's attention<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1179</div>	あなたは<b><ruby>集中<rt>しゅうちゅう</rt></ruby></b>する<ruby>力<rt>ちから</rt></ruby>を<ruby>失<rt>うしな</rt></ruby>ってしまった。	あなたは集中する力を失ってしまった。	You've lost the ability to concentrate.	pos::noun rank::1001-1500
<ruby>魅力<rt>みりょく</rt></ruby>	魅力	charm; fascination; glamour<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1180</div>	<ruby>彼女<rt>かのじょ</rt></ruby>にはすばらしい<b><ruby>魅力<rt>みりょく</rt></ruby></b>がある。	彼女にはすばらしい魅力がある。	She has great charm.	pos::noun rank::1001-1500
ずつ	ずつ	apiece; each<div style="font-size:12px;color:#a7aebb;margin-top:4px">suffix &middot; frequency rank 1181</div>	どうぞ<ruby>一<rt>いち</rt></ruby><ruby>人<rt>にん</rt></ruby><b>ずつ</b>お<ruby>入<rt>はい</rt></ruby>りください。	どうぞ一人ずつお入りください。	Please come in one by one.	pos::suffix rank::1001-1500
ひどい	ひどい	cruel; heartless; hard<div style="font-size:12px;color:#a7aebb;margin-top:4px">i-adjective &middot; frequency rank 1182</div>	<ruby>私<rt>わたし</rt></ruby>は<b>ひどく</b><ruby>疲<rt>つか</rt></ruby>れていて<ruby>立<rt>た</rt></ruby>っていられなかった。	私はひどく疲れていて立っていられなかった。	I was too tired to stand.	pos::i-adjective rank::1001-1500
ブロック	ブロック	block (solid piece of material); chunk (e.g. of meat)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1183</div>	<ruby>残<rt>のこ</rt></ruby>り３<b>ブロック</b>だ、がんばれ！	残り３ブロックだ、がんばれ！	The last three blocks! Come on! Cheer up!	pos::noun rank::1001-1500
<ruby>依頼<rt>いらい</rt></ruby>	依頼	request; commission; entrusting (with a matter)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1184</div>	<ruby>君<rt>きみ</rt></ruby>の<b><ruby>依頼<rt>いらい</rt></ruby></b><ruby>事<rt>ごと</rt></ruby>は<ruby>話<rt>はなし</rt></ruby>にならない。	君の依頼事は話にならない。	Granting that favor is out of the question.	pos::noun rank::1001-1500
<ruby>兄弟<rt>きょうだい</rt></ruby>	兄弟	brothers and sisters; siblings<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1185</div>	その<b><ruby>兄弟<rt>きょうだい</rt></ruby></b>はそれぞれ<ruby>車<rt>しゃ</rt></ruby>を<ruby>所有<rt>しょゆう</rt></ruby>している。	その兄弟はそれぞれ車を所有している。	Each of the brothers has a car.	pos::noun rank::1001-1500
<ruby>刑事<rt>けいじ</rt></ruby>	刑事	(police) detective<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1186</div>	<b><ruby>刑事<rt>けいじ</rt></ruby></b>たちは<ruby>彼<rt>かれ</rt></ruby>を<ruby>追跡<rt>ついせき</rt></ruby>した。	刑事たちは彼を追跡した。	The detectives pursued him.	pos::noun rank::1001-1500
<ruby>園<rt>その</rt></ruby>	園	garden; orchard; park<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1187</div>	<ruby>彼<rt>かれ</rt></ruby>らは<ruby>私<rt>わたし</rt></ruby>の<ruby>果実<rt>かじつ</rt></ruby><b><ruby>園<rt>えん</rt></ruby></b>を<ruby>荒<rt>あ</rt></ruby>らした。	彼らは私の果実園を荒らした。	They robbed my orchard.	pos::noun rank::1001-1500
<ruby>完了<rt>かんりょう</rt></ruby>	完了	completion; conclusion<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1188</div>	すべて<ruby>準備<rt>じゅんび</rt></ruby><b><ruby>完了<rt>かんりょう</rt></ruby></b>。	すべて準備完了。	All systems are go.	pos::noun rank::1001-1500
<ruby>実現<rt>じつげん</rt></ruby>	実現	implementation (e.g. of a system); materialization; materialisation<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 1189</div>	とうとう<ruby>私<rt>わたし</rt></ruby>の<ruby>願<rt>ねが</rt></ruby>いが<b><ruby>実現<rt>じつげん</rt></ruby></b>した。	とうとう私の願いが実現した。	At length, my wish was realized.	pos::noun rank::1001-1500
